Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 279.82 -3.02 GPS
DUCK P-100 1998-01-27 280.42 -3.04 GPS
DUCK P-100 1998-01-27 280.92 -3.05 GPS
DUCK P-100 1998-01-27 281.42 -3.07 GPS
DUCK P-100 1998-01-27 282.02 -3.08 GPS
DUCK P-100 1998-01-27 282.52 -3.08 GPS
DUCK P-100 1998-01-27 283.12 -3.11 GPS
DUCK P-100 1998-01-27 284.52 -3.14 GPS
DUCK P-100 1998-01-27 285.02 -3.15 GPS
DUCK P-100 1998-01-27 285.72 -3.18 GPS
DUCK P-100 1998-01-27 286.42 -3.19 GPS
DUCK P-100 1998-01-27 286.92 -3.21 GPS
DUCK P-100 1998-01-27 288.72 -3.24 GPS
DUCK P-100 1998-01-27 289.32 -3.26 GPS
DUCK P-100 1998-01-27 289.82 -3.29 GPS
DUCK P-100 1998-01-27 290.42 -3.30 GPS
DUCK P-100 1998-01-27 290.92 -3.31 GPS
DUCK P-100 1998-01-27 291.52 -3.32 GPS
DUCK P-100 1998-01-27 292.12 -3.34 GPS
DUCK P-100 1998-01-27 292.62 -3.35 GPS
DUCK P-100 1998-01-27 293.22 -3.37 GPS
DUCK P-100 1998-01-27 293.72 -3.38 GPS
DUCK P-100 1998-01-27 294.32 -3.40 GPS
DUCK P-100 1998-01-27 294.92 -3.41 GPS
DUCK P-100 1998-01-27 295.62 -3.42 GPS
DUCK P-100 1998-01-27 296.02 -3.43 GPS
DUCK P-100 1998-01-27 296.72 -3.46 GPS
DUCK P-100 1998-01-27 297.32 -3.47 GPS
DUCK P-100 1998-01-27 297.92 -3.48 GPS
DUCK P-100 1998-01-27 298.42 -3.50 GPS
DUCK P-100 1998-01-27 298.92 -3.51 GPS
DUCK P-100 1998-01-27 299.52 -3.52 GPS
DUCK P-100 1998-01-27 300.12 -3.53 GPS
DUCK P-100 1998-01-27 300.62 -3.54 GPS
DUCK P-100 1998-01-27 301.32 -3.55 GPS
